GMAT词汇精选
complementary		/ kRmpli5men5tEri/  n.余角
complex		/ 5kRmpleks/  n.综合企业;［生］染色体组;［心］情结
compliance		/ kEm5plaiEns/  n.遵守
comply			/ kEm5plai/  v.遵循
component		/ kEm5pEunEnt/  n.部分,零件
composite  number	/ /  合数(可被1及其本身之外的数整除)
compound		/ 5kRmpaund, kEm5paund/  n.混合物 a.混合的
compound  interest	/ /  复利
comprehend		/ kRmpri5hend/  v.了解,领会;包含 包括
compromise		/ 5kRmprEmaiz/  v.妥协,危害
compulsory		/ kEm5pQlsEri/  a.强制性的,命令性的
conceal		/ kEn5si:l/  v.隐藏,隐瞒 conceal sth.from sb.
concentrate		/ 5kRnsEntreit/  n.浓缩,浓缩液
concentric  circle	/ /  同心圆
concern		/ kEn5sE:n/  n.公司，企业(康采恩)
concert		/ 5kRnsEt/  n.一致,协作,和谐  in concert 一致,一齐
concerto		/ kEn5tFZEtou/  n.［音］协奏曲
concession		/ kEn5seFEn/  n.让步,特许权
concrete		/ 5kRnkri:t/  a.具体的,有形的;团结成的;  n.混凝土
concurrent		/ kEn5kQrEnt/  a.同时发生的
condense		/ kEn5dens/  vt.使冷凝,浓缩;缩短;加强(电气)
condescending		/ kRndi5sendiN/  a.贬低的
condor			/ 5kRndR:/  n.(动)(南美产)神鹰,秃鹰
cone			/ kEun/  n.圆锥
configuration		/ kEnfigju5reiFEn/  n.轮廓,结构
confinement		/ kEn5fainmEnt/  n.限制,禁闭
conform		/ kEn5fR:m/  vt.使一致,使遵照 vi. 适合,适应环境
confront		/ kEn5frQnt/  vt.使面对;勇敢地面对危险;使对质,对证
congenial		/ kEn5dVi:njEl/  a.意气相投的,宜人的
congestion		/ kEn5dVestFEn/  n.充血,拥挤
conglomerate		/ kEn5glRmErit/  n.集聚,集团
congregation		/ kRNgri5geiFEn/  n.集合在一起的群众
congruent		/ 5kRNgruEnt/  a.全等的
connive		/ kE5naiv/  v.默许,共谋
consecutive integer	/ /  连续整数
consensus		/ kEn5sensEs/  n.共识
consortia		/ /  n.(consortium的复数)合作,合伙,联合;国际才团
conspiracy		/ kEn5spirEsi/  n.阴谋
constellation		/ kRnstE5leiFEn/  n.星座,星群
constraint		/ kEn5streint/  n.强逼,压抑, 拘束，紧张状态
contagious		/ kEn5teidVEs/  a.传染的,有感染力的
contaminant		/ kEn5tAminEnt/  a.污染的
contemplate		/ 5kRntempleit/  v. 深思, (严肃)注视
contemporary		/ kEn5tempErEri/  a.当代的,同时代同年龄的; n.同代人,同龄人)
contemptuous		/ kEn5temptjuEs/  a.轻视的,傲慢的
contentious		/ kEn5tenFEs/  a.好辩的,喜争吵的;有争议的
context		/ 5kRntekst/  n.(文章的)上下文;(事物等发生的)来龙去脉
contiguous		/ kEn5tigjuEs/  a.接近的,接壤的
contingency		/ kEn5tindVEnsi/  n.意外事件,可能性
contingent		/ kEn5tindVEnt/  a.意外的,视情况条件面定的
contralto		/ kEn5trAltou/  n.女低音
control		/ kEn5trEul/  n.(实验的)对照,寻照物
convalescence		/ kRnvE5lesns/  n.病后康复期
conversion		/ kEn5vE:FEn/  n.转变,皈依
convert		/ kEn5vE:t, 5kRnvE:t/  v.转变,转换;使皈依宗教 n.皈依宗教者
conviction		/ kEn5vikFEn/  n.判罪,坚信
convoluted		/ /  a.旋绕的,费解的.
coordinate		/ kEu5Rdinit/  a.座标的
coriander		/ 5kRri5AndE/  n.［植］芜荽，香菜
cornerstone		/ /  n.［建］墙角石,奠基石;［喻］柱石,基础
cornstalk		/ 5kR:nstR:k/  n.玉米秆
corny			/ 5kR:ni/  a.平淡无奇的,乡巴老的
coronary		/ 5kB:EnEri/  a.冠的,花冠的,冠状的   coronary arteries 心脏的冠状动脉
coronary angiography	/ /  n.［医］冠状血管照相术
corpulence		/ 5kR:pjulEns/  n.肥胖, 臃肿
corridor		/ 5kRridR:/  n.走廊,通道
corroborate		/ kE5rRbEreit/  v.支持或证实,强化
cortex			/ 5kR:teks/  n.外皮；［解］皮质;［植］皮层
cosmic			/ 5kRzmik/  a.宇宙的
cossack		/ 5kRsAk/  n.哥萨克;哥萨克人
cost			/ kRst/  n.成本
counterclockwise	/ kauntEklRkwaiz/  ad.逆时针方向
counterfeit		/ 5kauntEfit/  v.伪造,仿造
countervail		/ 5kauntEveil/  v.补偿,抵销,敌过; countervailing duty 反倾销税
coupon			/ 5ku:pRn/  n.(债券等)息券;赠券;配给券
courier		/ 5kuriE/  n.送急件的人,信使
coy			/ kRi/  a.腼腆的,忸怩的
coyote			/ 5kRiEut/  n.(美国西部的)郊狼,小狼
crack			/ krAk/  v.爆裂;(健康,精神)衰退
cramped		/ krAmpt/  a.痉挛的,狭窄的,难辩读的(指字写得小而挤)
crass			/ krAs/  a.粗糙,粗厚的;愚钝的;极度的,非常的
crater			/ 5kreitE/  n.火山口,弹坑
credence		/ 5kri:dEns/  n.信任,相信
credit			/ 5kredit/  vt.相信;把....归于(to),认为有(某种优点或成就)
credo			/ 5kri:dou/  n.信经,信条,使徒信经曲
crest			/ krest/  n.鸡冠, 顶饰; crestfallen 冠毛垂倒,(喻)垂头丧气的
criminology		/ krimi5nRlEdVi/  n.犯罪学
criteria		/ krai5tiriE/  n.标准,条件
critique		/ kri5ti:k/  n.(文艺等的)批评,评论
crucial		/ 5kru:FiEl/  a.决定性的,紧要关头的;严酷的 极困难的
crumple		/ 5krQmpl/  v.弄皱,扭弯
crunch			/ krQntF/  v.嘎吱嘎吱地咬嚼; n.嘎吱嘎吱的声音
crusade		/ kru:5seid/  n.为维护理想,原则而进行的运动或斗争
crypt			/ kript/  n.地窟,［解］腺窝,小囊
cryptical		/ 5kriptikEl/  a.秘密的,神秘的,隐义的
cube			/ kju:b/  立方体
cue			/ kju:/  n.［戏］尾白,提示;暗示
culminate		/ 5kQlmineit/  vi.达到顶点(或高潮);告终(in);［天］到中天,到子午线
culpability		/ kQlpE5biliti/  n.有罪,该受谴责
cult			/ kQlt/  n.宗派,崇拜
cultivation		/ kQlti5veiFEn/  n.耕作,裁培,教养
culture-bound		/ /  a.与文化相关的,受文化束缚的
cumbersome		/ 5kQmbEsEm/  a.笨重的
cupidity		/ kju:5piditi/  n.贪婪,贪心,贪欲
curb			/ kE:b/  n.马勒 v.控制
cure-all		/ /  n.万灵药
curriculum		/ kE5rikjulEm/  n.学校的全部课程;(一门)课程
curtail		/ kE:5teil/  vt.截短,缩短;削减
customize		/ /  v.定制,定做,安规格改制
cylinder		/ 5silindE/  n.圆柱体
cynical		/ 5sinikEl/  a.愤世嫉俗的
cytokinin		/ /  n.［生］细胞激动素
cytology		/ 5sai5tRlEdVi/  n.细胞学
cytoplasm		/ 5saitEplAzm/  n.(生)细胞质
darn			/ da:n/  v.织补 n.织补(处)
daylight saving time	/ /  n.夏时制
de-ice			/ /  v.除冰
debase			/ di5beis/  v.降低,贬低;降低(硬币)的成色
debenture		/ di5bentFE/  n.债券;(海关)退税凭单
debilitate		/ di5bilEtet/  v.使衰弱
debris			/ dE5bri:/  n.(破坏物的)碎片,废墟;碎石
debut			/ 5deibju:/  n.［法］初进社交界;(演员的)首次演出
decagon		/ 5dekEgRn/  十边形
decay			/ di5kei/  v.腐朽,衰微
decent			/ 5di:snt/  a.正派的;体面的;公平大方的
decimal		/ 5desimEl/  n.小数
decimal point		/ 5dZsEml5pRint/  小数点
decipher		/ di5saifE/  v.破译
decrease		/ di5kri:s, 5di:kri:s/  v.减少
deduce			/ di5dju:s/  v.演绎,推断
deduct			/ di5dQkt/  v.扣除,减去;演绎
defendant		/ di5fendEnt/  n.被告 a.处于被千地位的,
deferential		/ defE5renFEl/  a.尊敬的
deficit		/ 5difisit/  n.赤字
deform			/ di5fR:m/  vt.使变形
defrost		/ di:5frR:st/  v.除霜,解冻
deft			/ deft/  a.灵巧的,熟练的
